Avg Salary,Mean of Avg Salary,Median of Avg,Median of Avg Salary,Max of Avg Salary,Standard Deviation of Avg Salary,,Rating,Mean of Rating,Median of Rating,Min of Rating,Max of Rating,Standard Deviation of Rating
40000,,,,,,,4.1,,,,,
40000,,,,,,,3.7,,,,,
40000,,,,,,,3.1,,,,,
40000,,,,,,,3.0,,,,,
40000,,,,,,,3.5,,,,,
40000,,,,,,,3.7,,,,,
40000,,,,,,,3.6,,,,,
40000,,,,,,,4.6,,,,,
40000,,,,,,,3.8,,,,,
40000,,,,,,,2.7,,,,,
40000,,,,,,,3.4,,,,,
40000,,,,,,,3.1,,,,,
54000,,,,,,,3.7,,,,,
54000,,,,,,,3.6,,,,,
54000,,,,,,,4.0,,,,,
54000,,,,,,,3.3,,,,,
54000,,,,,,,4.0,,,,,
54000,,,,,,,4.9,,,,,
54000,,,,,,,3.6,,,,,
54000,,,,,,,3.6,,,,,
54000,,,,,,,5.0,,,,,
54000,,,,,,,3.8,,,,,
54000,,,,,,,4.3,,,,,
54000,,,,,,,4.2,,,,,
54000,,,,,,,3.9,,,,,
54000,,,,,,,4.1,,,,,
54000,,,,,,,3.4,,,,,
54000,,,,,,,3.8,,,,,
54000,,,,,,,3.8,,,,,
54000,,,,,,,3.6,,,,,
54000,,,,,,,3.4,,,,,
54000,,,,,,,3.1,,,,,
54000,,,,,,,3.1,,,,,
73000,,,,,,,4.7,,,,,
73000,,,,,,,3.9,,,,,
73000,,,,,,,2.5,,,,,
73000,,,,,,,3.5,,,,,
73000,,,,,,,3.8,,,,,
73000,,,,,,,3.8,,,,,
73000,,,,,,,4.0,,,,,
73000,,,,,,,4.1,,,,,
73000,,,,,,,3.8,,,,,
73000,,,,,,,3.0,,,,,
73000,,,,,,,3.3,,,,,
73000,,,,,,,3.3,,,,,
73000,,,,,,,3.5,,,,,
73000,,,,,,,3.0,,,,,
73000,,,,,,,3.2,,,,,
73000,,,,,,,4.7,,,,,
73000,,,,,,,3.1,,,,,
73000,,,,,,,2.5,,,,,
73000,,,,,,,3.3,,,,,
122500,,,,,,,2.9,,,,,
122500,,,,,,,5.0,,,,,
122500,,,,,,,3.3,,,,,
122500,,,,,,,2.9,,,,,
122500,,,,,,,3.2,,,,,
122500,,,,,,,3.3,,,,,
122500,,,,,,,3.8,,,,,
122500,,,,,,,4.0,,,,,
122500,,,,,,,4.1,,,,,
122500,,,,,,,2.8,,,,,
122500,,,,,,,3.9,,,,,
122500,,,,,,,3.4,,,,,
122500,,,,,,,3.1,,,,,
122500,,,,,,,3.1,,,,,
122500,,,,,,,3.7,,,,,
122500,,,,,,,3.3,,,,,
122500,,,,,,,4.6,,,,,
122500,,,,,,,2.9,,,,,
122500,,,,,,,3.6,,,,,
122500,,,,,,,3.8,,,,,
122500,,,,,,,3.4,,,,,
63000,,,,,,,3.9,,,,,
63000,,,,,,,3.7,,,,,
63000,,,,,,,3.7,,,,,
63000,,,,,,,5.0,,,,,
63000,,,,,,,3.2,,,,,
63000,,,,,,,3.4,,,,,
63000,,,,,,,3.4,,,,,
63000,,,,,,,3.8,,,,,
63000,,,,,,,2.8,,,,,
63000,,,,,,,3.3,,,,,
63000,,,,,,,3.7,,,,,
63000,,,,,,,4.0,,,,,
63000,,,,,,,3.9,,,,,
63000,,,,,,,4.6,,,,,
63000,,,,,,,4.6,,,,,
63000,,,,,,,4.1,,,,,
63000,,,,,,,3.3,,,,,
63000,,,,,,,3.3,,,,,
63000,,,,,,,4.7,,,,,
63000,,,,,,,4.3,,,,,
63000,,,,,,,3.2,,,,,
